x,y,z,g,wa,wr
100.0,100.0,90.0,90,90.0,90
90.0,16.0,90.0,90,90.0,90
90.0,7.0,90.0,90,90.0,90
90.0,7.0,90.0,90,90.0,90
90.0,7.0,90.0,90,90.0,90
96.0,27.0,90.0,90,90.0,90
96.0,41.0,90.0,90,90.0,90
96.0,50.0,90.0,90,90.0,90
97.0,59.0,90.0,90,90.0,90
97.0,71.0,90.0,90,90.0,90
102.0,88.0,90.0,90,90.0,90
108.0,104.0,90.0,90,90.0,90
105.0,106.0,90.0,90,90.0,90
95.0,110.0,90.0,90,90.0,90
89.0,117.0,90.0,90,90.0,90
83.0,139.0,90.0,90,90.0,90
79.0,148.0,90.0,90,90.0,90
62.0,158.0,90.0,90,90.0,90
55.0,158.0,90.0,90,90.0,90
42.0,162.0,90.0,90,90.0,90
40.0,162.0,90.0,90,90.0,90
35.0,170.0,90.0,90,90.0,90
31.0,176.0,90.0,90,90.0,90
26.0,183.0,90.0,90,90.0,90
26.0,183.0,90.0,90,90.0,90
50.0,172.0,90.0,90,90.0,90
50.0,172.0,90.0,90,90.0,90
50.0,172.0,90.0,90,90.0,90
55.0,170.0,90.0,90,90.0,90
76.0,155.0,90.0,90,90.0,90
89.0,149.0,90.0,90,90.0,90
108.0,138.0,90.0,90,90.0,90
128.0,132.0,90.0,90,90.0,90
150.0,121.0,90.0,90,90.0,90
152.0,116.0,90.0,90,90.0,90
155.0,112.0,90.0,90,90.0,90
160.0,108.0,90.0,90,90.0,90
167.0,103.0,90.0,90,90.0,90
176.0,99.0,90.0,90,90.0,90
176.0,99.0,90.0,90,90.0,90
185.0,93.0,90.0,90,90.0,90
188.0,92.0,90.0,90,90.0,90
189.0,90.0,90.0,90,90.0,90
189.0,90.0,90.0,90,90.0,90
189.0,90.0,90.0,90,90.0,90
189.0,90.0,90.0,90,90.0,90
189.0,90.0,90.0,90,90.0,90
189.0,90.0,90.0,90,90.0,90
154.0,103.0,90.0,90,90.0,90
139.0,103.0,90.0,90,90.0,90
129.0,103.0,90.0,90,90.0,90
119.0,103.0,90.0,90,90.0,90
110.0,103.0,90.0,90,90.0,90
105.0,103.0,90.0,90,90.0,90
100.0,105.0,90.0,90,90.0,90
98.0,107.0,90.0,90,90.0,90
98.0,107.0,90.0,90,90.0,90
98.0,107.0,90.0,90,90.0,90
98.0,107.0,90.0,90,90.0,90
98.0,107.0,90.0,90,90.0,90
98.0,107.0,90.0,90,90.0,90
98.0,107.0,90.0,90,90.0,90
